id,organizationId,name,headcount,healthScore,createdAt,updatedAt
608513f1-0dde-4227-ab3f-13865381afed,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,Engineering,180,78.6,2025-11-17T20:33:44.197035,2025-11-17T20:33:44.197036
d7d41c03-3c0a-465b-991c-b59c064b53fa,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,Product,153,80.8,2025-11-17T20:33:44.197046,2025-11-17T20:33:44.197047
1f436dfd-fea0-4fed-a6da-3754b2056395,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,Design,123,81.4,2025-11-17T20:33:44.197060,2025-11-17T20:33:44.197061
8c802c61-3bef-4c64-8842-37a093ebd2f5,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,Marketing,194,91.2,2025-11-17T20:33:44.197068,2025-11-17T20:33:44.197069
ed2e361d-08cf-4d89-8eb7-02052e17e7b4,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,Sales,119,89.1,2025-11-17T20:33:44.197077,2025-11-17T20:33:44.197078
cf9519f5-92ec-45a6-90fa-06b83a4f0bed,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,Customer Success,150,75.6,2025-11-17T20:33:44.197085,2025-11-17T20:33:44.197086
60230a8d-1608-434c-b149-8dbca9a7301c,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,Operations,50,86.0,2025-11-17T20:33:44.197093,2025-11-17T20:33:44.197094
f720aefd-80f4-4741-983b-28e1a372a940,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,Finance,131,75.8,2025-11-17T20:33:44.197106,2025-11-17T20:33:44.197107
007addd6-6e3d-4357-8aca-f05fdecdf24e,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,HR,73,89.4,2025-11-17T20:33:44.197159,2025-11-17T20:33:44.197160
5bd79c11-1f6b-45c7-8e71-27911410fe55,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,Legal,80,86.8,2025-11-17T20:33:44.197167,2025-11-17T20:33:44.197168
2b65c732-3462-4957-b7c8-df04ad88170e,14ce0afd-539f-4aef-b356-cb0d114c156f,Engineering,66,72.0,2025-11-17T20:33:44.222712,2025-11-17T20:33:44.222713
d1125ed2-4b6e-475a-b16c-aa78a8b4607d,14ce0afd-539f-4aef-b356-cb0d114c156f,Product,165,87.4,2025-11-17T20:33:44.222720,2025-11-17T20:33:44.222721
6bd3f985-057b-4a72-87a9-4387b805d88e,14ce0afd-539f-4aef-b356-cb0d114c156f,Design,104,63.6,2025-11-17T20:33:44.222730,2025-11-17T20:33:44.222731
4ae3f998-3edf-4620-8db7-f2b7f6c82a84,14ce0afd-539f-4aef-b356-cb0d114c156f,Marketing,139,63.7,2025-11-17T20:33:44.222748,2025-11-17T20:33:44.222748
3d143b47-9db1-43e5-956d-d15a1554f6a4,14ce0afd-539f-4aef-b356-cb0d114c156f,Sales,191,73.7,2025-11-17T20:33:44.222755,2025-11-17T20:33:44.222756
ef092f81-2633-4a9f-a599-3afa14634d69,14ce0afd-539f-4aef-b356-cb0d114c156f,Customer Success,103,60.9,2025-11-17T20:33:44.222764,2025-11-17T20:33:44.222765
39f1aba4-acce-415b-8a76-7c29e56325a3,14ce0afd-539f-4aef-b356-cb0d114c156f,Operations,175,77.1,2025-11-17T20:33:44.222776,2025-11-17T20:33:44.222776
46c72cab-d4e1-43e8-aab5-6bfc41e840d3,14ce0afd-539f-4aef-b356-cb0d114c156f,Finance,77,93.5,2025-11-17T20:33:44.222786,2025-11-17T20:33:44.222787
2687a487-35ad-4d02-ae8c-649735908af3,14ce0afd-539f-4aef-b356-cb0d114c156f,HR,153,71.4,2025-11-17T20:33:44.222794,2025-11-17T20:33:44.222795
3cfcd00a-3157-44b9-9d63-5f03ac0dc1c5,14ce0afd-539f-4aef-b356-cb0d114c156f,Legal,166,71.2,2025-11-17T20:33:44.222801,2025-11-17T20:33:44.222802
bf800f41-294a-4922-ad03-094b7dc69e1c,73b8f40c-8497-4466-9fa2-3e7d49686bf1,Engineering,120,64.4,2025-11-17T20:33:44.249948,2025-11-17T20:33:44.249949
507f3581-80de-4687-8046-0f1a47ceaa3c,73b8f40c-8497-4466-9fa2-3e7d49686bf1,Product,84,70.5,2025-11-17T20:33:44.249954,2025-11-17T20:33:44.249955
2cf41850-8ade-4fb4-a709-a531a42c12ba,73b8f40c-8497-4466-9fa2-3e7d49686bf1,Design,137,62.1,2025-11-17T20:33:44.249961,2025-11-17T20:33:44.249962
d898975b-4b5d-4fbd-82fc-00e3289d928d,73b8f40c-8497-4466-9fa2-3e7d49686bf1,Marketing,76,79.7,2025-11-17T20:33:44.249971,2025-11-17T20:33:44.249972
d83702fe-9329-4504-8bf1-4f507240da2d,73b8f40c-8497-4466-9fa2-3e7d49686bf1,Sales,116,76.5,2025-11-17T20:33:44.249977,2025-11-17T20:33:44.249978
97b67d92-dd65-4c1a-be88-716d3ba73879,73b8f40c-8497-4466-9fa2-3e7d49686bf1,Customer Success,39,88.2,2025-11-17T20:33:44.249984,2025-11-17T20:33:44.249985
4b4d3ab8-3e7a-4463-b6bd-3ba5adcbf9b4,73b8f40c-8497-4466-9fa2-3e7d49686bf1,Operations,40,77.6,2025-11-17T20:33:44.249995,2025-11-17T20:33:44.249996
ed9833a4-9ad8-4500-9b95-f593af1df8b7,73b8f40c-8497-4466-9fa2-3e7d49686bf1,Finance,129,87.3,2025-11-17T20:33:44.250001,2025-11-17T20:33:44.250002
3d097663-7d8f-4523-9524-b64d0954b04a,73b8f40c-8497-4466-9fa2-3e7d49686bf1,HR,69,68.5,2025-11-17T20:33:44.250010,2025-11-17T20:33:44.250011
8ed548ee-64a6-4b8d-8b3e-d0615a663ef7,73b8f40c-8497-4466-9fa2-3e7d49686bf1,Legal,93,76.2,2025-11-17T20:33:44.250021,2025-11-17T20:33:44.250022
